Date,Open,High,Low,Close,Adj Close,Volume,Day
2019-02-19,84.580002,85.050003,84.459999,84.57,81.400513,5105900,255
2019-02-20,84.629997,84.949997,84.349998,84.839996,81.660431,6436100,256
2019-02-21,83.57,84.150002,83.349998,83.949997,80.803764,8579200,257
2019-02-22,84.199997,85.019997,84.029999,84.760002,81.583412,4449500,258
2019-02-25,85.389999,85.730003,84.959999,85.169998,81.978043,6229700,259
2019-02-26,85.309998,86.080002,85.199997,85.800003,82.584427,6678700,260
2019-02-27,85.529999,86.220001,85.059998,86.169998,82.940559,4588200,261
2019-02-28,86.080002,86.400002,85.68,85.730003,82.517052,4988100,262
2019-03-01,86.93,87.989998,86.239998,87.160004,84.109291,6314900,263
2019-03-04,87.32,87.989998,85.110001,85.639999,82.642502,7339500,264
2019-03-05,85.879997,86.25,85.440002,85.440002,82.449509,4976300,265
2019-03-06,85.599998,85.989998,85.040001,85.129997,82.150352,3198000,266
2019-03-07,84.970001,85.410004,84.660004,85.260002,82.275803,4321800,267
2019-03-08,84.580002,84.879997,84.019997,84.800003,81.831909,4669700,268
2019-03-11,85.389999,85.940002,85.050003,85.82,82.816208,3999800,269
2019-03-12,85.779999,86.080002,85.019997,85.43,82.43985,4431600,270
2019-03-13,85.699997,86.660004,85.599998,85.93,82.922348,5037800,271
2019-03-14,86.150002,86.879997,85.699997,86.870003,83.829445,5906100,272
2019-03-15,87.220001,87.610001,85.959999,86.800003,83.761909,11031400,273
2019-03-18,87.300003,87.839996,87,87.82,84.746208,7750700,274
2019-03-19,88.220001,88.589996,87.290001,87.690002,84.620758,6642200,275
2019-03-20,87.5,87.580002,86.089996,86.690002,83.655762,5991500,276
2019-03-21,87.239998,88.120003,86.830002,88.010002,84.92955,10386900,277
2019-03-22,85.199997,85.900002,82.150002,82.190002,79.313263,21659800,278
2019-03-25,81.480003,83.220001,80.889999,82.330002,79.448364,15558300,279
2019-03-26,83.629997,84.089996,82.910004,83.379997,80.461609,9611900,280
2019-03-27,83.690002,83.800003,82.040001,83.089996,80.181747,6485100,281
2019-03-28,83.93,84.720001,83.699997,84.040001,81.098495,6032700,282
2019-03-29,84.599998,84.849998,83.860001,84.209999,81.262566,6492000,283
2019-04-01,85.040001,85.32,84.699997,85.230003,82.246872,6737400,284
2019-04-02,85,85.260002,84.160004,84.370003,81.416962,4433800,285
2019-04-03,84.900002,84.989998,84.25,84.470001,81.513451,4080900,286
2019-04-04,84.489998,85.379997,84.360001,85.279999,82.295113,3660700,287
2019-04-05,86,86.160004,85.050003,85.400002,82.410912,7367400,288
2019-04-08,85.010002,85.290001,84.57,84.730003,81.764359,4705800,289
2019-04-09,84.220001,84.599998,83.970001,84.279999,81.330116,3804500,290
2019-04-10,84.639999,85.010002,84.559998,84.879997,81.909111,3918400,291
2019-04-11,84.900002,85.050003,84.279999,85,82.02491,3347400,292
2019-04-12,85.300003,86.489998,85.290001,86.239998,83.221504,6037000,293
2019-04-15,86.889999,87.239998,86.440002,86.830002,83.790855,5034900,294
2019-04-16,87,87.949997,87,87.800003,84.726906,4652700,295
2019-04-17,87.949997,88.970001,87.449997,88.730003,85.624344,5694900,296
2019-04-18,88.760002,90,88.699997,89.199997,86.077904,7016600,297
2019-04-22,88.349998,88.639999,87.300003,87.360001,84.302307,5390500,298
2019-04-23,87.57,87.669998,87.010002,87.43,84.369865,7513700,299
2019-04-24,87.669998,88.82,87.43,88.389999,85.296257,8063000,300
2019-04-25,88.400002,88.540001,87.489998,87.559998,84.495308,7069900,301
2019-04-26,87.949997,88.940002,87.330002,88.309998,85.21907,6219600,302
2019-04-29,88.18,88.510002,88.129997,88.260002,85.170799,5008400,303
2019-04-30,88.290001,88.400002,87.260002,87.830002,84.755844,7614100,304
2019-05-01,87.730003,87.949997,85.870003,85.900002,82.893425,6524600,305
2019-05-02,86.209999,86.279999,84.989998,85.269997,82.285461,6813700,306
2019-05-03,85.900002,86.300003,85.699997,85.699997,82.700409,6798300,307
2019-05-06,83.769997,83.870003,82.860001,83.57,80.644966,12836600,308
2019-05-07,83.019997,83.629997,81.830002,82.540001,79.651009,9811300,309
2019-05-08,82.43,83.989998,82.139999,82.769997,79.872948,9501300,310
2019-05-09,82.209999,83.010002,81.540001,82.980003,80.075607,6336600,311
2019-05-10,82.779999,84.269997,82.190002,83.949997,81.011658,5450500,312
2019-05-13,81.650002,82.629997,81.32,82.529999,79.641373,6445200,313
2019-05-14,82.779999,84,82.059998,83.669998,80.74147,7529200,314
2019-05-15,83.169998,84.489998,82.940002,84.010002,81.069557,4862200,315
2019-05-16,84.510002,85.400002,84.199997,84.279999,81.330116,6745200,316
2019-05-17,83.510002,85.519997,83.5,84.57,81.609947,5068200,317
2019-05-20,83.800003,83.800003,82.739998,82.849998,79.950165,7181900,318
2019-05-21,83.360001,83.800003,82.510002,83.639999,80.712517,5762500,319
